id_tweet,username,text,date,url,reply_count,retweet_count,like_count,quote_count
1155794638999097300,valdecirdelecl1,@KatiaAbreu Excelente oportunidade para quem tem ovos podres em casa,2019-07-29T10:58:10Z,https://twitter.com/Valdecirdelecl1/status/1155794638999097345,1,2,72,0
1140776924735823900,valdecirdelecl1,"@KatiaAbreu Só por ser defendido por Haddad, já mereceu o pé na bunda",2019-06-18T00:23:08Z,https://twitter.com/Valdecirdelecl1/status/1140776924735823872,1,3,60,0
1140221252923252700,valdecirdelecl1,@KatiaAbreu Rico não precisa de armas  Pois tem segurança e carro blindado  #ArmasPraQuemQuer,2019-06-16T11:35:05Z,https://twitter.com/Valdecirdelecl1/status/1140221252923252736,0,4,17,0
1140221103132090400,valdecirdelecl1,@KatiaAbreu Respeitem o plebiscito de 2005  #ArmasPraQuemQuer,2019-06-16T11:34:29Z,https://twitter.com/Valdecirdelecl1/status/1140221103132090369,0,2,16,0
1112481407643852800,valdecirdelecl1,@KatiaAbreu Velha querendo ser menina é deprimente e vergonha Apesar q com essa cara eu TB teria vergonha,2019-03-31T22:26:51Z,https://twitter.com/Valdecirdelecl1/status/1112481407643852806,0,0,17,0
1112481021252042800,valdecirdelecl1,"@KatiaAbreu Senadora mais calhorda como vc espero que não exista nunca mais, aproveita seus últimos 4 anos",2019-03-31T22:25:19Z,https://twitter.com/Valdecirdelecl1/status/1112481021252042754,1,2,33,0
1111038298447843300,valdecirdelecl1,"@KatiaAbreu Nem vou te dar Ibope, sua ladra",2019-03-27T22:52:27Z,https://twitter.com/Valdecirdelecl1/status/1111038298447843334,0,0,13,0
1108004086148935700,valdecirdelecl1,@alefrotabrasil @SenadoFederal @davialcolumbre @majorolimpio @SenadorKajuru @Collor @renancalheiros @RomarioOnze @maragabrilli @KatiaAbreu @alvarodias_ @senadorhumberto Pra mim é jogo de cartas marcadas,2019-03-19T13:55:34Z,https://twitter.com/Valdecirdelecl1/status/1108004086148935681,1,1,10,0
1096713018925334500,valdecirdelecl1,"@KatiaAbreu Sinceramente são exatamente essas as coisas q não quero da vida, mas para uns deve ser bom, tem gente agora ser ladrão, corno, depravado e até sem o mínimo de decência",2019-02-16T10:08:54Z,https://twitter.com/Valdecirdelecl1/status/1096713018925334529,1,3,38,0
1092408663644532700,valdecirdelecl1,@KatiaAbreu Lave a boca pra falar em honestidade,2019-02-04T13:04:56Z,https://twitter.com/Valdecirdelecl1/status/1092408663644532737,0,0,4,0
1091488035437453300,sisispsp,@quotes_gn @KatiaAbreu Kkkkkkkkkkk muito patético,2019-02-02T00:06:41Z,https://twitter.com/Sisispsp/status/1091488035437453317,0,0,2,0
1112407533715685400,fabi_moller_,@KatiaAbreu Enquanto tiver gente como vc que ao invés de trabalhar p o crescimento do país só sabe roubar pastas estaremos nas redes sociais. 😉 E a propósito robô teu c*!!,2019-03-31T17:33:18Z,https://twitter.com/Fabi_Moller_/status/1112407533715685377,3,16,121,0
1164840470515736600,attuchleonardo,@KatiaAbreu Alerte seus amigos ruralistas,2019-08-23T10:03:04Z,https://twitter.com/AttuchLeonardo/status/1164840470515736576,3,8,69,0
1394954180213813200,obsclima,Bom dia pra você que viu logo cedo a @KatiaAbreu dizendo que o desmatamento prejudica o acordo comercial entre e UE e o Mercosul. https://t.co/f95lRyFLs9,2021-05-19T09:52:48Z,https://twitter.com/obsclima/status/1394954180213813251,5,12,109,1
1398409014086713300,uolpolitica,Kátia Abreu fala de machismo na CPI: “Homem grita e é corajoso; mulher fala alto e é histérica“  A senadora @KatiaAbreu comenta sobre as cenas de machismo na CPI da Covid e diz que vê como “pejorativa“ a forma de classificar mulheres diante dos homens com mesmas ações  #UOLNews https://t.co/b3vVgZZutN,2021-05-28T22:41:04Z,https://twitter.com/UOLPolitica/status/1398409014086713348,1,1,7,0
1398401358064193500,uolpolitica,"“Governo Bolsonaro tem dois grupos: ministros bolsominions e técnicos“, diz Kátia Abreu  A senadora @KatiaAbreu diz que vê “uma horda de bajuladores sabujos que me enojam“. “Pessoas que, na verdade, querem ficar bem com o presidente“, afirma ela  #UOLNews https://t.co/awuHA6EFKP",2021-05-28T22:10:39Z,https://twitter.com/UOLPolitica/status/1398401358064193541,0,0,3,0
1398389228883566600,uolpolitica,"“Estamos vendo negacionismo matar gente e isolar o Brasil do resto do mundo“  A senadora @KatiaAbreu fala sobre o comportamento do presidente Bolsonaro e apoiadores dele e avalia que “adeptos estão na mesma direção de fanatismo cego, ideológico e extremista“: “Doentio“  #UOLNews https://t.co/W9DJ4yAiqK",2021-05-28T21:22:27Z,https://twitter.com/UOLPolitica/status/1398389228883566597,0,5,12,0
1398387551573000200,uolpolitica,"Kátia Abreu: “Depoimentos da Pfizer e do Butantan me chocaram“  “Fiquei chocada de ver quantas oportunidades foram desperdiçadas“, disse @KatiaAbreu. “Bolsonaro já deve ter tomado várias vacinas ao longo da vida. Por que essa implicância com a vacina contra covid-19?“  #UOLNews https://t.co/2sHU2Vp6rH",2021-05-28T21:15:47Z,https://twitter.com/UOLPolitica/status/1398387551573000208,2,1,6,0
1377732088917557200,uolpolitica,"Kátia Abreu: “Não temos previsão de receber vacinas do consórcio“  “Além de não conseguir mais doses da vacina contra covid, vamos receber com atraso o que estava combinado. Brasil está na pior condição no mundo“, disse @KatiaAbreu  #BaixoClero https://t.co/RLkHNdcj0y",2021-04-01T21:18:21Z,https://twitter.com/UOLPolitica/status/1377732088917557250,0,1,5,0
1377729358698328e3,uolpolitica,"Kátia Abreu comenta trocas ministeriais e busca por vacinas | Baixo Clero #80  Baixo Clero, o podcast de política do UOL, conversa com a senadora @KatiaAbreu sobre as recentes ações de Jair Bolsonaro, a busca por vacinas no exterior e mais  #BaixoClero https://t.co/zJzZmYgZiX",2021-04-01T21:07:30Z,https://twitter.com/UOLPolitica/status/1377729358698328068,0,0,3,0
1111971682732961800,heliotelho,@Atanasio_real @Fernand46525301 @elenalandau A senadora @KatiaAbreu está certa ao questionar o modelo de concessão da Norte-Sul. O resultado do leilão só conformou. Apenas duas empresas disputaram a ferrovia.,2019-03-30T12:41:23Z,https://twitter.com/HelioTelho/status/1111971682732961792,0,0,0,1
1169235126187942e3,pdt_nacional,"Palmas recebeu convenção do movimento Ação Mulher Trabalhista, com presença da presidente Miguelina Vecchio e da Senadora @KatiaAbreu. A parlamentar lançou desafio de ampliarmos a presença feminina nas câmaras legislativas em 40%. O PDT aceita e concorda! #PDToposiçãopropositiva https://t.co/jmAfO4Fjfp",2019-09-04T13:05:52Z,https://twitter.com/PDT_Nacional/status/1169235126187941900,2,11,37,1
